wrong_word,correct_word,review_label,review_reason,instances,unique_rows,wrong_in_processed_freq,correct_in_processed_freq,tweet_ids
کا,کی,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,2277,3360,464486
کا,کہ,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,2277,960,80587
کا,کوئی,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,2277,443,470460
کر,کے,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,1491,4087,599557
کر,کو,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,1491,2675,548861
ہیں,ہے,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,1419,3080,399442
کہ,کی,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,960,3360,241078
کہ,کا,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,960,2277,140017
کہ,کر,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,960,1491,40704
ہو,ہوں,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,893,169,263508
ہی,ہے,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,644,3080,286924
ہی,ہیں,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,644,1419,282748
اپنے,اپنی,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,394,318,140017
ہوں,ہو,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,169,893,36790
گی,گئی,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,167,153,240101
جا,جو,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,150,600,344870
دی,دے,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,149,221,295115
نا,ہونا,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,143,58,8573
گئے,گے,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,135,322,262281
بن,بنی,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,130,24,461469
کہا,کہ,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,100,960,12498
شرم,بےشرم,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,99,86,230220
اپنا,اپنی,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,88,318,11436
آباد,باد,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,73,36,89030
بنانے,بناتے,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,61,9,57940
غیرت,بےغیرت,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,53,146,293900
عام,سرعام,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,53,11,273290
رہیں,رہے,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,52,438,89030
بچہ,بچے,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,49,110,440057
کرتی,کرتے,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,43,264,22169
میرا,میرے,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,43,80,23755
میرا,میری,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,43,67,23755
مرتد,مرد,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,37,30,6727
عمر,وقت,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,33,155,46639
دیر,دے,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,17,221,11436
تمیز,بدتمیز,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,14,16,286754
چلو,چلوں,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,12,2,11436
ملیں,ملے,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,10,44,655643
چلی,چلے,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,10,36,573507
کروں,دوں,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,10,8,36790
لڑکیاں,لڑکیوں,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,9,14,468021
مراد,مردہ,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,7,19,89030
کسے,کسی,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,4,251,266831
پڑھیں,پڑھی,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,4,7,315507
اڑانے,اڑانی,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,4,1,12498
گیں,گے,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,3,322,533710
گیں,گی,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,3,167,12498
جوتا,ہوتا,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,3,122,452703
دلیر,دلیری,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,3,4,23076
مرید,مرتد,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,2,37,652505
تیرہ,تیرا,likely_real_word_contextual,manual full-corpus review: source and target are valid words/forms in context,1,1,2,29,608384
دشت,دہشت,not_real_word_by_proxy,source token was not observed as a processed-corpus word,7,3,0,44,"196996,196996,228124,506289,506289,506289,506289"
کزاب,کذاب,not_real_word_by_proxy,source token was not observed as a processed-corpus word,5,4,0,26,"125489,128281,368902,368902,540311"
کادیانی,قادیانی,not_real_word_by_proxy,source token was not observed as a processed-corpus word,4,2,0,267,"419956,419956,419956,505327"
ٹالبان,طالبان,not_real_word_by_proxy,source token was not observed as a processed-corpus word,4,2,0,68,"24215,24215,24215,497989"
چوتئیے,چوتیے,not_real_word_by_proxy,source token was not observed as a processed-corpus word,4,4,0,15,"264280,293859,293968,483219"
کیمنے,کمینے,not_real_word_by_proxy,source token was not observed as a processed-corpus word,4,4,0,10,"4864,20189,571150,587004"
که,کہ,not_real_word_by_proxy,source token was not observed as a processed-corpus word,3,2,0,960,"457490,531366,531366"
سندہ,سندھ,not_real_word_by_proxy,source token was not observed as a processed-corpus word,3,1,0,69,"440614,440614,440614"
خرامی,حرامی,not_real_word_by_proxy,source token was not observed as a processed-corpus word,3,2,0,59,"81008,518000,518000"
فتنه,فتنہ,not_real_word_by_proxy,source token was not observed as a processed-corpus word,3,2,0,59,"28701,84938,84938"
یھودیوں,یہودیوں,not_real_word_by_proxy,source token was not observed as a processed-corpus word,3,3,0,28,"308120,310084,397159"
بیواقوف,بیوقوف,not_real_word_by_proxy,source token was not observed as a processed-corpus word,3,3,0,26,"210559,288963,289252"
سوور,سور,not_real_word_by_proxy,source token was not observed as a processed-corpus word,3,3,0,26,"284053,421706,431577"
جھاد,جہاد,not_real_word_by_proxy,source token was not observed as a processed-corpus word,3,2,0,15,"20240,20240,148070"
مرزی,مرزائی,not_real_word_by_proxy,source token was not observed as a processed-corpus word,3,3,0,14,"218958,382748,535615"
می,میں,not_real_word_by_proxy,source token was not observed as a processed-corpus word,2,2,0,2642,"22169,84567"
نہں,نہیں,not_real_word_by_proxy,source token was not observed as a processed-corpus word,2,2,0,1576,"6446,12498"
کھان,خان,not_real_word_by_proxy,source token was not observed as a processed-corpus word,2,1,0,660,"87367,87367"
الللہ,اللہ,not_real_word_by_proxy,source token was not observed as a processed-corpus word,2,1,0,388,"81883,81883"
ھـے,ھے,not_real_word_by_proxy,source token was not observed as a processed-corpus word,2,1,0,366,"20456,20456"
ہؤا,ہوا,not_real_word_by_proxy,source token was not observed as a processed-corpus word,2,1,0,217,"506289,506289"
افغانسان,افغانستان,not_real_word_by_proxy,source token was not observed as a processed-corpus word,2,1,0,209,"491522,491522"
باجرہ,باجوہ,not_real_word_by_proxy,source token was not observed as a processed-corpus word,2,2,0,116,"220497,425195"
قادیانیو,قادیانیوں,not_real_word_by_proxy,source token was not observed as a processed-corpus word,2,2,0,98,"49265,321563"
مولانہ,مولانا,not_real_word_by_proxy,source token was not observed as a processed-corpus word,2,2,0,79,"417559,605881"
ھوئ,ہوئی,not_real_word_by_proxy,source token was not observed as a processed-corpus word,2,2,0,78,"5857,72509"
جُھوٹ,جھوٹ,not_real_word_by_proxy,source token was not observed as a processed-corpus word,2,1,0,71,"609522,609522"
فتنہء,فتنہ,not_real_word_by_proxy,source token was not observed as a processed-corpus word,2,1,0,59,"217175,217175"
یہوذی,یہودی,not_real_word_by_proxy,source token was not observed as a processed-corpus word,2,2,0,58,"125489,128281"
پرویزا,پرویز,not_real_word_by_proxy,source token was not observed as a processed-corpus word,2,2,0,51,"503100,552372"
بکوس,بکواس,not_real_word_by_proxy,source token was not observed as a processed-corpus word,2,2,0,50,"571667,628841"
تباھ,تباہ,not_real_word_by_proxy,source token was not observed as a processed-corpus word,2,2,0,47,"397159,665066"
آیین,آئین,not_real_word_by_proxy,source token was not observed as a processed-corpus word,2,2,0,45,"432326,445751"
بگوڑے,بھگوڑے,not_real_word_by_proxy,source token was not observed as a processed-corpus word,2,2,0,39,"267879,303916"
انتہائ,انتہائی,not_real_word_by_proxy,source token was not observed as a processed-corpus word,2,2,0,37,"2780,632467"
انتہاٸی,انتہائی,not_real_word_by_proxy,source token was not observed as a processed-corpus word,2,2,0,37,"264124,268100"
نگا,ننگا,not_real_word_by_proxy,source token was not observed as a processed-corpus word,2,2,0,32,"20244,203923"
یوتھییے,یوتھیے,not_real_word_by_proxy,source token was not observed as a processed-corpus word,2,2,0,28,"279575,446363"
منفاقت,منافقت,not_real_word_by_proxy,source token was not observed as a processed-corpus word,2,2,0,25,"442352,580538"
اخری,آخری,not_real_word_by_proxy,source token was not observed as a processed-corpus word,2,1,0,22,"652505,652505"
بضدل,بزدل,not_real_word_by_proxy,source token was not observed as a processed-corpus word,2,2,0,22,"285955,286974"
فائیدہ,فائدہ,not_real_word_by_proxy,source token was not observed as a processed-corpus word,2,2,0,17,"10343,390154"
ادارا,ادارہ,not_real_word_by_proxy,source token was not observed as a processed-corpus word,2,2,0,15,"197827,646251"
کنچری,کنجری,not_real_word_by_proxy,source token was not observed as a processed-corpus word,2,1,0,15,"417202,417202"
مرزئی,مرزائی,not_real_word_by_proxy,source token was not observed as a processed-corpus word,2,2,0,14,"535615,563841"
ٹوئیت,ٹوئیٹ,not_real_word_by_proxy,source token was not observed as a processed-corpus word,2,1,0,14,"285970,285970"
ذنا,زنا,not_real_word_by_proxy,source token was not observed as a processed-corpus word,2,1,0,13,"333427,333427"
گھریدہ,غریدہ,not_real_word_by_proxy,source token was not observed as a processed-corpus word,2,1,0,13,"609540,609540"
اسپتال,ہسپتال,not_real_word_by_proxy,source token was not observed as a processed-corpus word,2,1,0,12,"287377,287377"
زلت,ذلت,not_real_word_by_proxy,source token was not observed as a processed-corpus word,2,2,0,12,"87242,396975"
ابادی,آبادی,not_real_word_by_proxy,source token was not observed as a processed-corpus word,2,2,0,11,"45180,400230"
اخرت,آخرت,not_real_word_by_proxy,source token was not observed as a processed-corpus word,2,1,0,11,"541193,541193"
بڑوا,بھڑوا,not_real_word_by_proxy,source token was not observed as a processed-corpus word,2,1,0,10,"518000,518000"
مرزائوں,مرزائیوں,not_real_word_by_proxy,source token was not observed as a processed-corpus word,2,2,0,10,"87367,159240"
کُتی,کتی,not_real_word_by_proxy,source token was not observed as a processed-corpus word,2,2,0,10,"382073,502222"
افغانو,افغانوں,not_real_word_by_proxy,source token was not observed as a processed-corpus word,2,1,0,9,"148070,148070"
چُوت,چوت,not_real_word_by_proxy,source token was not observed as a processed-corpus word,2,2,0,9,"417101,625572"
قمــــر,قمر,not_real_word_by_proxy,source token was not observed as a processed-corpus word,2,2,0,8,"20242,422112"
بکائو,بکاؤ,not_real_word_by_proxy,source token was not observed as a processed-corpus word,2,2,0,7,"285955,286974"
بیھودہ,بیہودہ,not_real_word_by_proxy,source token was not observed as a processed-corpus word,2,1,0,6,"308675,308675"
فِٹے,فٹے,not_real_word_by_proxy,source token was not observed as a processed-corpus word,2,1,0,5,"399278,399278"
پلیر,پلیئر,not_real_word_by_proxy,source token was not observed as a processed-corpus word,2,2,0,4,"12039,252409"
بکاءو,بکاو,not_real_word_by_proxy,source token was not observed as a processed-corpus word,2,2,0,3,"150370,260969"
دلّہ,دلہ,not_real_word_by_proxy,source token was not observed as a processed-corpus word,2,2,0,3,"630148,654814"
دیکھای,دیکھائی,not_real_word_by_proxy,source token was not observed as a processed-corpus word,2,1,0,3,"230553,230553"
کھائ,کھائی,not_real_word_by_proxy,source token was not observed as a processed-corpus word,2,2,0,3,"122634,538911"
جرت,جرأت,not_real_word_by_proxy,source token was not observed as a processed-corpus word,2,2,0,2,"286242,333032"
کاے,کے,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,4087,250544
خی,کی,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,3360,552372
قسم۔کی,کی,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,3360,223018
۔کی,کی,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,3360,649323
حے,ہے,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,3080,462777
اسر,اور,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,2799,21090
کوکی,کو,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,2675,498086
مییں,میں,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,2642,323042
انگیزی,سے,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,2381,398617
ڈھنگا,کا,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,2277,592447
ہا,کا,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,2277,611029
جر,کر,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,1491,152267
ٹر,کر,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,1491,443465
کرسر,کر,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,1491,273290
ھئں,ہیں,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,1419,10713
ھین,ہیں,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,1419,546421
نےنے,نے,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,1414,270532
۔پر,پر,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,1383,623273
ئہ,یہ,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,1341,643487
یـہ,یہ,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,1341,20456
یی,یہ,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,1341,593254
لہ,کہ,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,960,100816
ھوگا؟ایک,ہو,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,893,272074
کیا؟؟؟,کیا,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,804,240560
هی,ہی,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,644,87810
یی,ہی,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,644,282748
أپ,آپ,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,527,649729
ہء۔,۔,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,483,264775
۔۔؛؛,۔,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,483,502065
تھتھا,تھا,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,482,574530
تہا,تھا,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,482,318606
کوءی,کوئی,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,443,505327
کویؑ,کوئی,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,443,575275
رئے,رہے,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,438,267509
کررئے,رہے,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,438,443465
مملک,ملک,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,423,296497
پلک,ملک,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,423,250544
سبی,سب,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,401,2780
اپے,اپنے,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,394,287034
للا,اللہ,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,388,471590
یم,ہم,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,376,477134
ہیی۔,ہے۔,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,359,490495
لےگا,گا,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,350,10197
دںا,دیا,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,335,618993
دیا۔۔,دیا,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,335,443587
گے۔۔۔۔,گے,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,322,263615
نےوالے,والے,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,300,430867
واے,والے,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,300,28920
آگـر,اگر,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,288,20456
پھر۔۔۔۔,پھر,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,274,224961
پھنیر,پھر,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,274,20242
پیھــــر,پھر,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,274,20456
اعوام,عوام,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,271,266007
قادنی,قادیانی,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,267,333427
قددیانی,قادیانی,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,267,13703
ءا,یا,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,249,666446
،،افغانستان,افغانستان,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,209,418146
افغاستان,افغانستان,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,209,570552
افغانستانان,افغانستان,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,209,87589
افغانستانوں,افغانستان,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,209,101061
په,پہ,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,187,628561
دع,دو,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,184,170026
پوکستانی,پاکستانی,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,184,393100
آٸ,آئی,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,180,82410
أئ,آئی,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,180,286217
أئی,آئی,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,180,10553
ائ,آئی,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,180,122434
نازی,نیازی,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,178,555167
ئوں,ہوں,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,169,8276
لع,لعنت,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,168,230493
لنت,لعنت,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,168,479119
پپلے,پہلے,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,159,429465
کری,کرے,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,149,3156
اسلامہ,اسلام,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,147,493337
جلاف,خلاف,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,144,210525
خکاف,خلاف,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,144,220485
گٰے,گئے,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,135,327744
گےُ,گئے,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,135,359006
بپ,باپ,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,131,261209
خرام,حرام,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,128,109255
کیوںکہ,کیونکہ,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,128,421644
امریکے,امریکہ,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,125,469920
دئیں,دیں,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,119,505554
باجرے,باجوہ,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,116,241078
باجو,باجوہ,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,116,240619
ہںونے,ہونے,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,115,134315
بھائ،,بھائی,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,114,116577
بھائہ,بھائی,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,114,344870
بھاٸ,بھائی,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,114,569244
بھایئ,بھائی,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,114,36758
جنرنیل,جنرل,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,112,612041
وجــہ,وجہ,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,112,20456
افغنا,افغان,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,108,86614
باک,پاک,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,107,89720
مرز,مرزا,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,102,128281
دیلھ,دیکھ,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,101,488291
دیکھت,دیکھ,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,101,224604
تُمام,تمام,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,99,611563
قادیانیون,قادیانیوں,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,98,313154
جھی,جی,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,94,556873
نسل۔کے,نسل,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,94,293900
ھیـں,ھیں,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,89,20456
ھین,ھیں,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,89,665066
عوت,عورت,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,88,264878
سمنجھ,سمجھ,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,87,250544
ہےمسلمان,مسلمان,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,87,26628
ائیے,آئے,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,84,482749
اہے,آئے,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,84,289590
غداد,غدار,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,84,231109
غددار,غدار,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,84,426997
قتلے,قتل,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,84,146118
لاگا,لگا,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,84,461351
چائہیے,چاہیے,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,81,579958
اَیسا,ایسا,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,80,406478
عذت,عزت,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,80,331847
ہمری,ہماری,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,79,286200
هوتی,ہوتی,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,78,457490
پیداہو,پیدا,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,78,8573
ہویؑ,ہوئی,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,78,261205
یوئ,ہوئی,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,78,599483
بّڑے,بڑے,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,72,266215
بڑھے,بڑے,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,72,20189
آولاد,اولاد,not_real_word_by_proxy,source token was not observed as a processed-corpus word,1,1,0,71,350484
