TweetId,TweetOriginal,TweetProcess
382,"@ShaheediHasan آپکی تمام باتوں کا جواب دیا جاسکتا ہے ۔
جس انداز سے آپ نے اعتراضات  کئے ہیں 
لیکن آپ گفتگو کے لئے آن لائن ہوں ۔ 
ایک ایک تنقید پر اپکو جواب دیا جائے گا","@ShaheediHasan آپکی تمام باتوں کا جواب دیا جا سکتا ہے ۔
جس انداز سے آپ نے اعتراضات  کئے ہیں 
لیکن آپ گفتگو کے لئے آن لائن ہوں ۔ 
ایک ایک تنقید پر اپکو جواب دیا جائے گا"
488,@ChSarfrazPMLN @waqarsatti @CaptNa14 @MaryamNSharif @Marriyum_A @TararAttaullah @CMShehbaz نیازی نے جو اسمبلیاں توڑنے کی بات کی ہے وہ ہو سکتا ہے اسکول کی اسمبلیاں ہوں,@ChSarfrazPMLN @waqarsatti @CaptNa14 @MaryamNSharif @Marriyum_A @TararAttaullah @CMShehbaz نیازی نے جو اسمبلیاں توڑنے کی بات کی ہے وہ ہو سکتا ہے اسکول کی اسمبلیاں ہوں
517,"فرق جان کو جیو

ایک بہادر لیڈر اور بزدل سیاستدان میں یہی فرق ہوتا ہے کہ بہادر لیڈر بات کو غور سے سنتا ہے پھر تحمل پر مبنی اپنا جواب دیتا ہے۔یہ راجہ فاروق حیدر ہیں جو آزاد کشمیر کے اس وقت وزیراعظم تھے خان سے شکایت کی خان نے سنی کوئی دھمکیاں نہیں لگائیں تھیں۔
#کشمیریوں_کو_عزت_دو https://t.co/ioXoQlO9mH","فرق جان کو جیو

ایک بہادر لیڈر اور بزدل سیاستدان میں یہی فرق ہوتا ہے کہ بہادر لیڈر بات کو غور سے سنتا ہے پھر تحمل پر مبنی اپنا جواب دیتا ہے۔یہ راجہ فاروق حیدر ہیں جو آزاد کشمیر کے اس وقت وزیراعظم تھے خان سے شکایت کی خان نے سنی کوئی دھمکیاں نہیں لگائیں تھیں۔
#کشمیریوں_کو_عزت_دو https://t.co/ioXoQlO9mH"
559,@johngill882 وائٹ شرٹ والے بندے کے ایکسپریشنز چیک کریں شاید وہ اسکا ہسبنڈ ہے کیونکہ اس سے پہلے بھی میں نے ایک وڈیو دیکھی اس لڑکی کی یہ اس میں بھی تھا آپ اسکا اونرشپ سٹائل دیکھیں ساری عمر کی روٹیاں نظر آرہی ہیں اسکی آنکھوں میں اس لڑکی کو لیکر.. میں شاید غلط بھی ہوسکتا. لیکن مجے لگتا ایسا ہی ہے,@johngill882 وائٹ شرٹ والے بندے کے ایکسپریشنز چیک کریں شاید وہ اسکا ہسبنڈ ہے کیونکہ اس سے پہلے بھی میں نے ایک وڈیو دیکھی اس لڑکی کی یہ اس میں بھی تھا آپ اسکا اونرشپ سٹائل دیکھیں ساری عمر کی روٹیاں نظر آرہی ہیں اسکی آنکھوں میں اس لڑکی کو لیکر.. میں شاید غلط بھی ہوسکتا. لیکن مجے لگتا ایسا ہی ہے
745,@Binish_20 یہی تو پاکستان کے ازلی دشمن بھارت کی دلی خواھش تھی کہ کشمیریوں اور پاکستانیوں کے درمیان اختلاف پیدا ھوں۔عمران خان نے اپنے دورے میں راجہ فاروق کی بات تحمل کے ساتھ سنی تھی۔ اور شھباز شریف نے کیا کیا۔مودی کو خوش کیا۔,@Binish_20 یہی تو پاکستان کے ازلی دشمن بھارت کی دلی خواھش تھی کہ کشمیریوں اور پاکستانیوں کے درمیان اختلاف پیدا ھوں۔عمران خان نے اپنے دورے میں راجہ فاروق کی بات تحمل کے ساتھ سنی تھی۔ اور شھباز شریف نے کیا کیا۔مودی کو خوش کیا۔
823,@Madadgar جس طرح فوج یا آرمی اسٹیبلیشمنٹ کو مخاطب کرنے کا مطلب تمام افواج نہیں ہوتی اسی طرح پنجاب یا پنجاب اسٹیبلشمنٹ کہنے کا مطلب ہرگز ساری عام پنجابی عوام نہیں ہوتی۔آپ تعصب کی عینک اُتار کر ویڈیو دیکھیں 😄,@Madadgar جس طرح فوج یا آرمی اسٹیبلیشمنٹ کو مخاطب کرنے کا مطلب تمام افواج نہیں ہوتی اسی طرح پنجاب یا پنجاب اسٹیبلشمنٹ کہنے کا مطلب ہرگز ساری عام پنجابی عوام نہیں ہوتی۔آپ تعصب کی عینک اُتار کر ویڈیو دیکھیں 😄
901,@KlasraRauf @ghazi_shuja تو ایک کنجر پنجابی بھڑوا مادرچود سکھوں کے لنڈو اولاوں میں سے ہو آئندہ تو نے شہید ارشد شریف کا نام بھی لیا تیری بیٹیو اور بیوی سڑکوں پر ننگا کر دینگے ذلیل کنجر بھڑوے پنجابی مادرچود,@KlasraRauf @ghazi_shuja تو ایک کنجر پنجابی بھڑوا مادرچود سکھوں کے لنڈو اولاوں میں سے ہو آئندہ تو نے شہید ارشد شریف کا نام بھی لیا تیری بیٹیو اور بیوی سڑکوں پر ننگا کر دینگے ذلیل کنجر بھڑوے پنجابی مادرچود
1008,تم روک کر کے دکھاؤ کشمیریوں کو اور کشمیر کے وزیراعظم کو بے شرم عطا تارڑ    #عطاء_ٹرٹرلعنتی,تم روک کر کے دکھاؤ کشمیریوں کو اور کشمیر کے وزیراعظم کو بے شرم عطا تارڑ    #عطاء_ٹرٹرلعنتی
1033,"@fatimasadozai @najamwalikhan کاروبار کا حق چھین لیا۔ 😀
اس سے بھی بڑا ظلم بتائیں اپکو نجم صاحب، آپکی ساری قیادت بشمول وزیراعظم، وزیر خزانہ ، دفاع، کامرس ریلوےسارے کشمیری النسل ہیں ۔پریس کلب کے سامنے خود سوزی کرلیں اب آپ",@fatimasadozai @najamwalikhan کاروبار کا حق چھین لیا ۔ 😀 اس سے بھی بڑا ظلم بتائیں اپکو نجم صاحب، آپکی ساری قیادت بشمول وزیراعظم، وزیر خزانہ ، دفاع، کامرس ریلوے سارے کشمیری النسل ہیں ۔ پریس کلب کے سامنے خود سوزی کرلیں اب آپ
1050,"14 یونین کونسل 4 پٹوار سرکل 290 مواضعات اور  2475 مربع کیلومیٹر پر محیط علاقے کو آخر ان کے بنیادی انسانی حقوق سے کیوں محروم رکھا جارہا ہے۔
وزیراعلی @AQuddusBizenjo کیا برشور و توبہ کے عوام الگ ضلع کا حق نہیں رکھتے جبکہ ان کا آبادی لاکھ سے تجاوز کر چکی ہے
#ضلع_برشور_توبہ_کاکڑی https://t.co/tHJV9IFTxa","14 یونین کونسل 4 پٹوار سرکل 290 مواضعات اور  2475 مربع کیلومیٹر پر محیط علاقے کو آخر ان کے بنیادی انسانی حقوق سے کیوں محروم رکھا جارہا ہے۔
وزیراعلی @AQuddusBizenjo کیا برشور و توبہ کے عوام الگ ضلع کا حق نہیں رکھتے جبکہ ان کا آبادی لاکھ سے تجاوز کر چکی ہے
#ضلع_برشور_توبہ_کاکڑی https://t.co/tHJV9IFTxa"
1097,@realikramnasim @ImranARaja1 @Naya__Pakistan_ @GFarooqi @SyedKousarKazmi @realrazidada @ImranRiazKhan @iqrarulhassan @ovaismangalwala @nausheenyusuf @Xadeejournalist نا مولوی تیری امی نے خان کو گندا اشارہ کیا تو خان نے ایسی حرکت کی ورنہ کون ایسا کر سکتا ہے کسی گشتی کے بچے,@realikramnasim @ImranARaja1 @Naya__Pakistan_ @GFarooqi @SyedKousarKazmi @realrazidada @ImranRiazKhan @iqrarulhassan @ovaismangalwala @nausheenyusuf @Xadeejournalist نا مولوی تیری امی نے خان کو گندا اشارہ کیا تو خان نے ایسی حرکت کی ورنہ کون ایسا کر سکتا ہے کسی گشتی کے بچے
1098,"آپ نےکبھی مایوس نہیں ہونامسلمان کبھی امیدکادامن نہیں چھوڑسکتا،چیف آف آرمی سٹاف جنرل عاصم منیر۔۔۔
""Chief of Army Staff"" https://t.co/7cPUXvGXnH",آپ نےکبھی مایوس نہیں ہونا مسلمان کبھی امید کا دامن نہیں چھوڑ سکتا،چیف آف آرمی سٹاف جنرل عاصم منیر
1104,لگتاہے عطاء تارڑ کوئی دنیاکےگھٹیاترین خاندان سےپیداہواہوابیہودہ اور نہایت ہی بدبودار انسان ہے۔,لگتا ہے عطاء تارڑ کوئی دنیا کے گھٹیا ترین خاندان سے پیدا ہوا ہوا بیہودہ اور نہایت ہی بدبو دار انسان ہے۔
1256,@Myounas20476424 کیونکہ اللہ پاک نے ھم کو شعور دیا ھے اور اگر اس کے باوجود ھم سانپ کو پکڑیں گئے تو پھر ھمارا قصور،  سانپ نے تو ڈسنا،  لہذا منافق انسان پہ اعتبار نہیں کیا جاسکتا,@Myounas20476424 کیونکہ اللہ پاک نے ھم کو شعور دیا ھے اور اگر اس کے باوجود ھم سانپ کو پکڑیں گئے تو پھر ھمارا قصور،  سانپ نے تو ڈسنا،  لہذا منافق انسان پہ اعتبار نہیں کیا جاسکتا
1284,جو صرف اور صرف دوسروں کے مفادات کا تحفظ کرتے ھیں اور اپنے لوگوں کو بنیادی سہولتیں مہیا کرنے سے بھی قاصر ھیں ۔ ان گھٹیا نام نہاد کشمیری سیاستدانوں کو چلو بھر پانی میں ڈوب مرنا چاہئیے +,جو صرف اور صرف دوسروں کے مفادات کا تحفظ کرتے ھیں اور اپنے لوگوں کو بنیادی سہولتیں مہیا کرنے سے بھی قاصر ھیں ۔ ان گھٹیا نام نہاد کشمیری سیاستدانوں کو چلو بھر پانی میں ڈوب مرنا چاہئیے +
1291,45/ کے پیشِ نظر جب ہمارے دیرینہ دشمن یہودؔ ، ہماری آئندہ نسلوں کو ناکارہ اور تباہ و برباد کر نے پر تلے ہوئے ہیں تو ہم دانستہ طور پر ان کی اسی مہم میں معاون اور آلہ کار کیوں بنیں؟۔اگر ہمیں آئندہ نسلوں کا تحفظ اورمستقبل میں مسلمانوں کی بقاء اور ایمان عزیز ہے تو ہمیں ذاتی مفاد,45/ کے پیشِ نظر جب ہمارے دیرینہ دشمن یہود ، ہماری آئندہ نسلوں کو ناکارہ اور تباہ و برباد کرنے پر تلے ہوئے ہیں تو ہم دانستہ طور پر ان کی اسی مہم میں معاون اور آلہ کار کیوں بنیں؟۔اگر ہمیں آئندہ نسلوں کا تحفظ اورمستقبل میں مسلمانوں کی بقاء اور ایمان عزیز ہے تو ہمیں ذاتی مفاد
1317,ایران میں حکومت کے خلاف تین روزہ ملک گیر ہڑتال سے پہلے یونیورسٹیوں کے 1200 طلبہ زہر خورانی کا شکار سوالات اٹھ گئے https://t.co/CwkIzX9QkX,"ایران میں حکومت کے خلاف تین روزہ ملک گیر ہڑتال سے پہلے یونیورسٹیوں کے 1200 طلبہ زہر خورانی کا شکار سوالات اٹھ گئے "
1323,"#مرزا_قادیانی_کے_جھوٹ
کذاب دجال غلام قادیانی کفر بکتا ہے کہ 
""اسی تالاب نے فیصلہ دیاکہ اگر آپ سے کوئی معجزہ بھی ظاہرہوا تو وہ معجزہ آپ کا نہیں بلکہ اسی تالاب کامعجزہ ہےاور آپکے ہاتھوں میں سوائے مکروفریب کے اورکچھ نہیں تھا
(روحانی خزائن جلد11 صفحہ291)
#سرمایہ_زیست
@Sajid2k
3","کذاب دجال غلام قادیانی کفر بکتا ہے کہ "" اسی تالاب نے فیصلہ دیا کہ اگر آپ سے کوئی معجزہ بھی ظاہرہوا تو وہ معجزہ آپ کا نہیں بلکہ اسی تالاب کامعجزہ ہے اور آپکے ہاتھوں میں سوائے مکروفریب کے اور کچھ نہیں تھا (روحانی خزائن جلد11 صفحہ291)
@Sajid2k
"
1336,@Maira_pak عمران خان قادیانی غیر مسلم اور اسکو پسند کرنیوالے تمام لوگ طوائف کی اولاد ھیں,@Maira_pak عمران خان قادیانی غیرمسلم اور اس کو پسند کرنی والے تمام لوگ طوائف کی اولاد ھیں
1347,@Ahmad_Noorani یہ مناسب آدمی کب تھا ؟؟؟ کرپٹ جج کا نطفہ آل شریف کے تلوے چاٹنے وال بے شرم مناسب ہو ہی نہیں سکتا,@Ahmad_Noorani یہ مناسب آدمی کب تھا ؟؟؟ کرپٹ جج کا نطفہ آل شریف کے تلوے چاٹنے وال بے شرم مناسب ہو ہی نہیں سکتا
1377,"@BSAC_org بلوچ سرمچاروں کاپنجاپی فوجی کیمپس پر حملے اور بلوچ قومی زمینیں کامیابی سے چھڑانا
افغانستان پرپاکستانی قبضہ
گوادر میں مولانا کا آنا اور پروجیکٹ ہونا
جنرل غفور بلوچستان تعیناتی
اختر مینگل کا کمیشن سربراہ بننا
چینی ڈرون ذریعہ بلوچ قتل عام
محمود خان کا بلوچستان تقسیم کرنیکی بات
1/1","@BSAC_org بلوچ سرمچاروں کا پنجاپی فوجی کیمپس پر حملے اور بلوچ قومی زمینیں کامیابی سے چھڑانا
افغانستان پر پاکستانی قبضہ گوادر میں مولانا کا آنا اور پروجیکٹ ہونا جنرل غفور بلوچستان تعیناتی اختر مینگل کا کمیشن سربراہ بننا
چینی ڈرون ذریعہ بلوچ قتل عام محمود خان کا بلوچستان تقسیم کرنیکی بات"
1470,"@KhawajaMAsif 13 / 14
سال میں سے 11سال نواز و زرداری کی ہی حکومت رہی 
اس کا 
ملبہ 3سال حکومت کرنے والے پہ ڈال رہے ہو
لعنت ہے ایسے گھٹیا پراپیگنڈہ کرنے والوں پہ۔
🖐🏿","@KhawajaMAsif 13 / 14
سال میں سے 11سال نواز و زرداری کی ہی حکومت رہی 
اس کا 
ملبہ 3سال حکومت کرنے والے پہ ڈال رہے ہو
لعنت ہے ایسے گھٹیا پراپیگنڈہ کرنے والوں پہ۔
🖐🏿"
1567,"@lerki_sachi
 اگر عاصم منیر بندے کا پتر ہوتا تو نواز شریف سے کال پر مبارکباد لینے کی بجائے شَٹ اَپ کال دیتا کہ میں کسی اشتہاری سے بات نہیں کرتا.لیکن مسئلہ یہ ہے کہ وہ ڈاکو بھی اسی کی نسل کا ہے.
پاکستان بنانا ری پبلک بن چکا ہے.
@OfficialDGISPR","@lerki_sachi
 اگر عاصم منیر بندے کا پتر ہوتا تو نواز شریف سے کال پر مبارکباد لینے کی بجائے شَٹ اَپ کال دیتا کہ میں کسی اشتہاری سے بات نہیں کرتا.لیکن مسئلہ یہ ہے کہ وہ ڈاکو بھی اسی کی نسل کا ہے.
پاکستان بنانا ری پبلک بن چکا ہے.
@OfficialDGISPR"
1649,@RoymukhtarRoy @_Mansoor_Ali آپ کو بتاتا چلو باجوا  قادیانی ہے اور ان کے لئے قسم کھانا کوئ بڑی بات نہیں,@RoymukhtarRoy @_Mansoor_Ali آپ کو بتاتا چلو باجوہ قادیانی ہے اور ان کے لئے قسم کھانا کوئی بڑی بات نہیں
1652,@AbidSherAli تم پٹواریوں کی پوری نسل قابل مذمت ہے کتو,@AbidSherAli تم پٹواریوں کی پوری نسل قابل مذمت ہے کتوں
1696,@Naya__Pakistan_ ہاں جی ہمیں معلوم ہے کہ آپ ایسا کرسکتے ہیں کیونکہ آپ بھارت کے پیروکار ہیں اور کشمیر کا نام آتے ہی آپ کو آگ لگ جاتی ہی #کشمیریوں_کو_عزت_دو,@Naya__Pakistan_ ہاں جی ہمیں معلوم ہے کہ آپ ایسا کرسکتے ہیں کیونکہ آپ بھارت کے پیروکار ہیں اور کشمیر کا نام آتے ہی آپ کو آگ لگ جاتی ہی #کشمیریوں_کو_عزت_دو
1736,@TararAttaullah ہم تو اپنے آپ کو کھبی بھی کشمیر ی نئیں سمجھ  بلکہ ہمیشہ پاکستانی تصور کرتے ہیں  ہم آپ سے زیادہ پاکستان سے محبت کرتے ہیں لیکن آپ نے ہمارے وزیراعظم کی توہین ہی نئیں بلکہ پورے کشمیریوں کی توہین کی,@TararAttaullah ہم تو اپنے آپ کو کھبی بھی کشمیر ی نئیں سمجھ  بلکہ ہمیشہ پاکستانی تصور کرتے ہیں  ہم آپ سے زیادہ پاکستان سے محبت کرتے ہیں لیکن آپ نے ہمارے وزیراعظم کی توہین ہی نئیں بلکہ پورے کشمیریوں کی توہین کی
1790,ہم سب اس کرپٹ جج کے نطفہ حرام کی بکواس اور ہرزہ سرائی پر تمام کشمیریوں سے دل سے معزرت کرتے ہیں https://t.co/9TaMWcYWN8,"ہم سب اس کرپٹ جج کے نطفہ حرام کی بکواس اور ہرزہ سرائی پر تمام کشمیریوں سے دل سے معزرت کرتے ہیں "
1806,"ان بے حیا اور بے دین لوگوں کے بکواسات  مولانا کی عزت میں کوئی کمی نہیں کرسکتا ڈی چوک میں ناچنے والے انٹیاں اور یوتھیئے مولانا کا مقام کیا جانے! 
مفتی زرولی خان نوراللہ مرقدہ کی زبانی سنئیے کہ ہمارے مرشد کا مقام کیا ہے💗 https://t.co/ZmsqWneaEb","ان بےحیا اور بےدین لوگوں کے بکواسات  مولانا کی عزت میں کوئی کمی نہیں کرسکتا ڈی چوک میں ناچنے والے انٹیاں اور یوتھیئے مولانا کا مقام کیا جانے! 
مفتی زرولی خان نوراللہ مرقدہ کی زبانی سنئیے کہ ہمارے مرشد کا مقام کیا ہے💗 https://t.co/ZmsqWneaEb"
1828,"انسان کو زندگی میں شاید محبت کرنے والے کی اِتنی ضرورت نہیں ہوتی، جتنی اُسے سمجھنے والے کی ہوتی ہے محبت اسے بہت سے لوگ کرتے ہے پر سمجھتا کوئ ایک ہی اور جو سمجھ لے اس جیسی محبت کوئ نہیں کرسکتا 
🖤","انسان کو زندگی میں شاید محبت کرنے والے کی اِتنی ضرورت نہیں ہوتی، جتنی اُسے سمجھنے والے کی ہوتی ہے محبت اسے بہت سے لوگ کرتے ہے پر سمجھتا کوئ ایک ہی اور جو سمجھ لے اس جیسی محبت کوئ نہیں کرسکتا 
🖤"
1849,@azadpanchi01 ہاں خاص کر ننگے ویڈیوز بنانے کے کھیل میں بھی ٹاپ پر ہے ماشاءاللہ,@azadpanchi01 ہاں خاص کر ننگے ویڈیوز بنانے کے کھیل میں بھی ٹاپ پر ہے ماشاء اللہ
1867,"وزیراعظم آزاد جموں و کشمیر سردار تنویر الیاس کی جانب سے کشمیریوں کے لیے آواز اٹھانے پر امپورٹڈ وزیراعظم شہباز شریف انتقامی کارروائیوں پر اتر آئے۔

 رات گئے بغیر نوٹس کے وزیر آزاد کشمیر کے ملکیتی مال کو سیل کر دیا گیا۔

#شہباز_شریف_معافی_مانگو
#PakistanUnderFascism https://t.co/1Dl7XeiJp9","وزیراعظم آزاد جموں و کشمیر سردار تنویر الیاس کی جانب سے کشمیریوں کے لیے آواز اٹھانے پر امپورٹڈ وزیراعظم شہباز شریف انتقامی کارروائیوں پر اتر آئے۔

 رات گئے بغیر نوٹس کے وزیر آزاد کشمیر کے ملکیتی مال کو سیل کر دیا گیا۔


 "
1904,"شہباز شریف پاکستان کی تاریخ کا پہلا وزیراعظم ہے جسکا پتلا کشمیریوں نے نظر آتش کیا۔

نفرت کے بیج بونا بند کرو۔۔
#شہباز_شریف_معافی_مانگو
 ⁦#CentaurusMall https://t.co/XOdU5flNgs","شہباز شریف پاکستان کی تاریخ کا پہلا وزیراعظم ہے جسکا پتلا کشمیریوں نے نظر آتش کیا۔

نفرت کے بیج بونا بند کرو۔۔
#شہباز_شریف_معافی_مانگو
 ⁦#CentaurusMall https://t.co/XOdU5flNgs"
1941,"محسن اقبال صدر مصطفوی سٹوڈنٹس موومنٹ لاہور کی کوآرڈینیشن کونسل تحریک منہاج القرآن پی پی 151 سمن آباد کے اہم اجلاس میں خصوصی شرکت۔
پی پی 151 میں مصطفوی سٹوڈنٹس موومنٹ کی تنظیم سازی کے حوالے سے مشاورت کی گئی۔
#MSMLahore https://t.co/Fr6O4GLUat","محسن اقبال صدر مصطفوی سٹوڈنٹس موومنٹ لاہور کی کوآرڈینیشن کونسل تحریک منہاج القرآن پی پی 151 سمن آباد کے اہم اجلاس میں خصوصی شرکت۔
پی پی 151 میں مصطفوی سٹوڈنٹس موومنٹ کی تنظیم سازی کے حوالے سے مشاورت کی گئی۔
 "
1978,@TahirMughalPml2 قطری ٹیکسی گشتی ترین عورت زمانے کی,@TahirMughalPml2 قطری ٹیکسی گشتی ترین عورت زمانے کی
1991,"@TararAttaullah تجھے کشمیری تیری ماں کی چوت میں گھسا دیں گے جدھر سے تجھ جیسا حرام کا پلا نکلا ھے کسی رنڈی کے بچے تیری اور تیرے وزیراعظم کی اتنی اوقات بھی ھے کیا بھڑوے دلال انسان جس کام کے لیئے تجھے رکھا ھے وہ کر اوقات سے باہر آیا تو تیری ماں بھی چود دیں گے کشمیری 
مادرچود شیطان عطا تارڑ","@TararAttaullah تجھے کشمیری تیری ماں کی چوت میں گھسا دیں گے جدھر سے تجھ جیسا حرام کا پلا نکلا ھے کسی رنڈی کے بچے تیری اور تیرے وزیراعظم کی اتنی اوقات بھی ھے کیا بھڑوے دلال انسان جس کام کے لیئے تجھے رکھا ھے وہ کر اوقات سے باہر آیا تو تیری ماں بھی چود دیں گے کشمیری 
مادرچود شیطان عطا تارڑ"
2006,"@azadpanchi01 
آج مراکش نے اسپین کو ورلڈ کپ میں ہرا کر کواٹر فائنل میں جگہ بنا لی ادھر اسٹبلشمنٹ عوام کے ساتھ فٹ بال میچ کھیل رہی ہے اس سے گھٹیا بات کیا ہو سکتی ہے ! پاکستان میں لٹو تھے پھٹو والا کھیل جاری ہے ! https://t.co/kHkFMEZwcC","@azadpanchi01 
آج مراکش نے اسپین کو ورلڈ کپ میں ہرا کر کواٹر فائنل میں جگہ بنا لی ادھر اسٹبلشمنٹ عوام کے ساتھ فٹ بال میچ کھیل رہی ہے اس سے گھٹیا بات کیا ہو سکتی ہے ! پاکستان میں لٹو تھے پھٹو والا کھیل جاری ہے ! "
